path,emotion
dataset\ravdess\Actor_01\03-01-01-01-01-01-01.wav,Neutral
dataset\ravdess\Actor_01\03-01-01-01-01-02-01.wav,Neutral
dataset\ravdess\Actor_01\03-01-01-01-02-01-01.wav,Neutral
dataset\ravdess\Actor_01\03-01-01-01-02-02-01.wav,Neutral
dataset\ravdess\Actor_01\03-01-02-01-01-01-01.wav,Calm
dataset\ravdess\Actor_01\03-01-02-01-01-02-01.wav,Calm
dataset\ravdess\Actor_01\03-01-02-01-02-01-01.wav,Calm
dataset\ravdess\Actor_01\03-01-02-01-02-02-01.wav,Calm
dataset\ravdess\Actor_01\03-01-02-02-01-01-01.wav,Calm
dataset\ravdess\Actor_01\03-01-02-02-01-02-01.wav,Calm
dataset\ravdess\Actor_01\03-01-02-02-02-01-01.wav,Calm
dataset\ravdess\Actor_01\03-01-02-02-02-02-01.wav,Calm
dataset\ravdess\Actor_01\03-01-03-01-01-01-01.wav,Happy
dataset\ravdess\Actor_01\03-01-03-01-01-02-01.wav,Happy
dataset\ravdess\Actor_01\03-01-03-01-02-01-01.wav,Happy
dataset\ravdess\Actor_01\03-01-03-01-02-02-01.wav,Happy
dataset\ravdess\Actor_01\03-01-03-02-01-01-01.wav,Happy
dataset\ravdess\Actor_01\03-01-03-02-01-02-01.wav,Happy
dataset\ravdess\Actor_01\03-01-03-02-02-01-01.wav,Happy
dataset\ravdess\Actor_01\03-01-03-02-02-02-01.wav,Happy
dataset\ravdess\Actor_01\03-01-04-01-01-01-01.wav,Sad
dataset\ravdess\Actor_01\03-01-04-01-01-02-01.wav,Sad
dataset\ravdess\Actor_01\03-01-04-01-02-01-01.wav,Sad
dataset\ravdess\Actor_01\03-01-04-01-02-02-01.wav,Sad
dataset\ravdess\Actor_01\03-01-04-02-01-01-01.wav,Sad
dataset\ravdess\Actor_01\03-01-04-02-01-02-01.wav,Sad
dataset\ravdess\Actor_01\03-01-04-02-02-01-01.wav,Sad
dataset\ravdess\Actor_01\03-01-04-02-02-02-01.wav,Sad
dataset\ravdess\Actor_01\03-01-05-01-01-01-01.wav,Angry
dataset\ravdess\Actor_01\03-01-05-01-01-02-01.wav,Angry
dataset\ravdess\Actor_01\03-01-05-01-02-01-01.wav,Angry
dataset\ravdess\Actor_01\03-01-05-01-02-02-01.wav,Angry
dataset\ravdess\Actor_01\03-01-05-02-01-01-01.wav,Angry
dataset\ravdess\Actor_01\03-01-05-02-01-02-01.wav,Angry
dataset\ravdess\Actor_01\03-01-05-02-02-01-01.wav,Angry
dataset\ravdess\Actor_01\03-01-05-02-02-02-01.wav,Angry
dataset\ravdess\Actor_01\03-01-06-01-01-01-01.wav,Fearful
dataset\ravdess\Actor_01\03-01-06-01-01-02-01.wav,Fearful
dataset\ravdess\Actor_01\03-01-06-01-02-01-01.wav,Fearful
dataset\ravdess\Actor_01\03-01-06-01-02-02-01.wav,Fearful
dataset\ravdess\Actor_01\03-01-06-02-01-01-01.wav,Fearful
dataset\ravdess\Actor_01\03-01-06-02-01-02-01.wav,Fearful
dataset\ravdess\Actor_01\03-01-06-02-02-01-01.wav,Fearful
dataset\ravdess\Actor_01\03-01-06-02-02-02-01.wav,Fearful
dataset\ravdess\Actor_01\03-01-07-01-01-01-01.wav,Disgust
dataset\ravdess\Actor_01\03-01-07-01-01-02-01.wav,Disgust
dataset\ravdess\Actor_01\03-01-07-01-02-01-01.wav,Disgust
dataset\ravdess\Actor_01\03-01-07-01-02-02-01.wav,Disgust
dataset\ravdess\Actor_01\03-01-07-02-01-01-01.wav,Disgust
dataset\ravdess\Actor_01\03-01-07-02-01-02-01.wav,Disgust
dataset\ravdess\Actor_01\03-01-07-02-02-01-01.wav,Disgust
dataset\ravdess\Actor_01\03-01-07-02-02-02-01.wav,Disgust
dataset\ravdess\Actor_01\03-01-08-01-01-01-01.wav,Surprised
dataset\ravdess\Actor_01\03-01-08-01-01-02-01.wav,Surprised
dataset\ravdess\Actor_01\03-01-08-01-02-01-01.wav,Surprised
dataset\ravdess\Actor_01\03-01-08-01-02-02-01.wav,Surprised
dataset\ravdess\Actor_01\03-01-08-02-01-01-01.wav,Surprised
dataset\ravdess\Actor_01\03-01-08-02-01-02-01.wav,Surprised
dataset\ravdess\Actor_01\03-01-08-02-02-01-01.wav,Surprised
dataset\ravdess\Actor_01\03-01-08-02-02-02-01.wav,Surprised
dataset\ravdess\Actor_02\03-01-01-01-01-01-02.wav,Neutral
dataset\ravdess\Actor_02\03-01-01-01-01-02-02.wav,Neutral
dataset\ravdess\Actor_02\03-01-01-01-02-01-02.wav,Neutral
dataset\ravdess\Actor_02\03-01-01-01-02-02-02.wav,Neutral
dataset\ravdess\Actor_02\03-01-02-01-01-01-02.wav,Calm
dataset\ravdess\Actor_02\03-01-02-01-01-02-02.wav,Calm
dataset\ravdess\Actor_02\03-01-02-01-02-01-02.wav,Calm
dataset\ravdess\Actor_02\03-01-02-01-02-02-02.wav,Calm
dataset\ravdess\Actor_02\03-01-02-02-01-01-02.wav,Calm
dataset\ravdess\Actor_02\03-01-02-02-01-02-02.wav,Calm
dataset\ravdess\Actor_02\03-01-02-02-02-01-02.wav,Calm
dataset\ravdess\Actor_02\03-01-02-02-02-02-02.wav,Calm
dataset\ravdess\Actor_02\03-01-03-01-01-01-02.wav,Happy
dataset\ravdess\Actor_02\03-01-03-01-01-02-02.wav,Happy
dataset\ravdess\Actor_02\03-01-03-01-02-01-02.wav,Happy
dataset\ravdess\Actor_02\03-01-03-01-02-02-02.wav,Happy
dataset\ravdess\Actor_02\03-01-03-02-01-01-02.wav,Happy
dataset\ravdess\Actor_02\03-01-03-02-01-02-02.wav,Happy
dataset\ravdess\Actor_02\03-01-03-02-02-01-02.wav,Happy
dataset\ravdess\Actor_02\03-01-03-02-02-02-02.wav,Happy
dataset\ravdess\Actor_02\03-01-04-01-01-01-02.wav,Sad
dataset\ravdess\Actor_02\03-01-04-01-01-02-02.wav,Sad
dataset\ravdess\Actor_02\03-01-04-01-02-01-02.wav,Sad
dataset\ravdess\Actor_02\03-01-04-01-02-02-02.wav,Sad
dataset\ravdess\Actor_02\03-01-04-02-01-01-02.wav,Sad
dataset\ravdess\Actor_02\03-01-04-02-01-02-02.wav,Sad
dataset\ravdess\Actor_02\03-01-04-02-02-01-02.wav,Sad
dataset\ravdess\Actor_02\03-01-04-02-02-02-02.wav,Sad
dataset\ravdess\Actor_02\03-01-05-01-01-01-02.wav,Angry
dataset\ravdess\Actor_02\03-01-05-01-01-02-02.wav,Angry
dataset\ravdess\Actor_02\03-01-05-01-02-01-02.wav,Angry
dataset\ravdess\Actor_02\03-01-05-01-02-02-02.wav,Angry
dataset\ravdess\Actor_02\03-01-05-02-01-01-02.wav,Angry
dataset\ravdess\Actor_02\03-01-05-02-01-02-02.wav,Angry
dataset\ravdess\Actor_02\03-01-05-02-02-01-02.wav,Angry
dataset\ravdess\Actor_02\03-01-05-02-02-02-02.wav,Angry
dataset\ravdess\Actor_02\03-01-06-01-01-01-02.wav,Fearful
dataset\ravdess\Actor_02\03-01-06-01-01-02-02.wav,Fearful
dataset\ravdess\Actor_02\03-01-06-01-02-01-02.wav,Fearful
dataset\ravdess\Actor_02\03-01-06-01-02-02-02.wav,Fearful
dataset\ravdess\Actor_02\03-01-06-02-01-01-02.wav,Fearful
dataset\ravdess\Actor_02\03-01-06-02-01-02-02.wav,Fearful
dataset\ravdess\Actor_02\03-01-06-02-02-01-02.wav,Fearful
dataset\ravdess\Actor_02\03-01-06-02-02-02-02.wav,Fearful
dataset\ravdess\Actor_02\03-01-07-01-01-01-02.wav,Disgust
dataset\ravdess\Actor_02\03-01-07-01-01-02-02.wav,Disgust
dataset\ravdess\Actor_02\03-01-07-01-02-01-02.wav,Disgust
dataset\ravdess\Actor_02\03-01-07-01-02-02-02.wav,Disgust
dataset\ravdess\Actor_02\03-01-07-02-01-01-02.wav,Disgust
dataset\ravdess\Actor_02\03-01-07-02-01-02-02.wav,Disgust
dataset\ravdess\Actor_02\03-01-07-02-02-01-02.wav,Disgust
dataset\ravdess\Actor_02\03-01-07-02-02-02-02.wav,Disgust
dataset\ravdess\Actor_02\03-01-08-01-01-01-02.wav,Surprised
dataset\ravdess\Actor_02\03-01-08-01-01-02-02.wav,Surprised
dataset\ravdess\Actor_02\03-01-08-01-02-01-02.wav,Surprised
dataset\ravdess\Actor_02\03-01-08-01-02-02-02.wav,Surprised
dataset\ravdess\Actor_02\03-01-08-02-01-01-02.wav,Surprised
dataset\ravdess\Actor_02\03-01-08-02-01-02-02.wav,Surprised
dataset\ravdess\Actor_02\03-01-08-02-02-01-02.wav,Surprised
dataset\ravdess\Actor_02\03-01-08-02-02-02-02.wav,Surprised
dataset\ravdess\Actor_03\03-01-01-01-01-01-03.wav,Neutral
dataset\ravdess\Actor_03\03-01-01-01-01-02-03.wav,Neutral
dataset\ravdess\Actor_03\03-01-01-01-02-01-03.wav,Neutral
dataset\ravdess\Actor_03\03-01-01-01-02-02-03.wav,Neutral
dataset\ravdess\Actor_03\03-01-02-01-01-01-03.wav,Calm
dataset\ravdess\Actor_03\03-01-02-01-01-02-03.wav,Calm
dataset\ravdess\Actor_03\03-01-02-01-02-01-03.wav,Calm
dataset\ravdess\Actor_03\03-01-02-01-02-02-03.wav,Calm
dataset\ravdess\Actor_03\03-01-02-02-01-01-03.wav,Calm
dataset\ravdess\Actor_03\03-01-02-02-01-02-03.wav,Calm
dataset\ravdess\Actor_03\03-01-02-02-02-01-03.wav,Calm
dataset\ravdess\Actor_03\03-01-02-02-02-02-03.wav,Calm
dataset\ravdess\Actor_03\03-01-03-01-01-01-03.wav,Happy
dataset\ravdess\Actor_03\03-01-03-01-01-02-03.wav,Happy
dataset\ravdess\Actor_03\03-01-03-01-02-01-03.wav,Happy
dataset\ravdess\Actor_03\03-01-03-01-02-02-03.wav,Happy
dataset\ravdess\Actor_03\03-01-03-02-01-01-03.wav,Happy
dataset\ravdess\Actor_03\03-01-03-02-01-02-03.wav,Happy
dataset\ravdess\Actor_03\03-01-03-02-02-01-03.wav,Happy
dataset\ravdess\Actor_03\03-01-03-02-02-02-03.wav,Happy
dataset\ravdess\Actor_03\03-01-04-01-01-01-03.wav,Sad
dataset\ravdess\Actor_03\03-01-04-01-01-02-03.wav,Sad
dataset\ravdess\Actor_03\03-01-04-01-02-01-03.wav,Sad
dataset\ravdess\Actor_03\03-01-04-01-02-02-03.wav,Sad
dataset\ravdess\Actor_03\03-01-04-02-01-01-03.wav,Sad
dataset\ravdess\Actor_03\03-01-04-02-01-02-03.wav,Sad
dataset\ravdess\Actor_03\03-01-04-02-02-01-03.wav,Sad
dataset\ravdess\Actor_03\03-01-04-02-02-02-03.wav,Sad
dataset\ravdess\Actor_03\03-01-05-01-01-01-03.wav,Angry
dataset\ravdess\Actor_03\03-01-05-01-01-02-03.wav,Angry
dataset\ravdess\Actor_03\03-01-05-01-02-01-03.wav,Angry
dataset\ravdess\Actor_03\03-01-05-01-02-02-03.wav,Angry
dataset\ravdess\Actor_03\03-01-05-02-01-01-03.wav,Angry
dataset\ravdess\Actor_03\03-01-05-02-01-02-03.wav,Angry
dataset\ravdess\Actor_03\03-01-05-02-02-01-03.wav,Angry
dataset\ravdess\Actor_03\03-01-05-02-02-02-03.wav,Angry
dataset\ravdess\Actor_03\03-01-06-01-01-01-03.wav,Fearful
dataset\ravdess\Actor_03\03-01-06-01-01-02-03.wav,Fearful
dataset\ravdess\Actor_03\03-01-06-01-02-01-03.wav,Fearful
dataset\ravdess\Actor_03\03-01-06-01-02-02-03.wav,Fearful
dataset\ravdess\Actor_03\03-01-06-02-01-01-03.wav,Fearful
dataset\ravdess\Actor_03\03-01-06-02-01-02-03.wav,Fearful
dataset\ravdess\Actor_03\03-01-06-02-02-01-03.wav,Fearful
dataset\ravdess\Actor_03\03-01-06-02-02-02-03.wav,Fearful
dataset\ravdess\Actor_03\03-01-07-01-01-01-03.wav,Disgust
dataset\ravdess\Actor_03\03-01-07-01-01-02-03.wav,Disgust
dataset\ravdess\Actor_03\03-01-07-01-02-01-03.wav,Disgust
dataset\ravdess\Actor_03\03-01-07-01-02-02-03.wav,Disgust
dataset\ravdess\Actor_03\03-01-07-02-01-01-03.wav,Disgust
dataset\ravdess\Actor_03\03-01-07-02-01-02-03.wav,Disgust
dataset\ravdess\Actor_03\03-01-07-02-02-01-03.wav,Disgust
dataset\ravdess\Actor_03\03-01-07-02-02-02-03.wav,Disgust
dataset\ravdess\Actor_03\03-01-08-01-01-01-03.wav,Surprised
dataset\ravdess\Actor_03\03-01-08-01-01-02-03.wav,Surprised
dataset\ravdess\Actor_03\03-01-08-01-02-01-03.wav,Surprised
dataset\ravdess\Actor_03\03-01-08-01-02-02-03.wav,Surprised
dataset\ravdess\Actor_03\03-01-08-02-01-01-03.wav,Surprised
dataset\ravdess\Actor_03\03-01-08-02-01-02-03.wav,Surprised
dataset\ravdess\Actor_03\03-01-08-02-02-01-03.wav,Surprised
dataset\ravdess\Actor_03\03-01-08-02-02-02-03.wav,Surprised
dataset\ravdess\Actor_04\03-01-01-01-01-01-04.wav,Neutral
dataset\ravdess\Actor_04\03-01-01-01-01-02-04.wav,Neutral
dataset\ravdess\Actor_04\03-01-01-01-02-01-04.wav,Neutral
dataset\ravdess\Actor_04\03-01-01-01-02-02-04.wav,Neutral
dataset\ravdess\Actor_04\03-01-02-01-01-01-04.wav,Calm
dataset\ravdess\Actor_04\03-01-02-01-01-02-04.wav,Calm
dataset\ravdess\Actor_04\03-01-02-01-02-01-04.wav,Calm
dataset\ravdess\Actor_04\03-01-02-01-02-02-04.wav,Calm
dataset\ravdess\Actor_04\03-01-02-02-01-01-04.wav,Calm
dataset\ravdess\Actor_04\03-01-02-02-01-02-04.wav,Calm
dataset\ravdess\Actor_04\03-01-02-02-02-01-04.wav,Calm
dataset\ravdess\Actor_04\03-01-02-02-02-02-04.wav,Calm
dataset\ravdess\Actor_04\03-01-03-01-01-01-04.wav,Happy
dataset\ravdess\Actor_04\03-01-03-01-01-02-04.wav,Happy
dataset\ravdess\Actor_04\03-01-03-01-02-01-04.wav,Happy
dataset\ravdess\Actor_04\03-01-03-01-02-02-04.wav,Happy
dataset\ravdess\Actor_04\03-01-03-02-01-01-04.wav,Happy
dataset\ravdess\Actor_04\03-01-03-02-01-02-04.wav,Happy
dataset\ravdess\Actor_04\03-01-03-02-02-01-04.wav,Happy
dataset\ravdess\Actor_04\03-01-03-02-02-02-04.wav,Happy
dataset\ravdess\Actor_04\03-01-04-01-01-01-04.wav,Sad
dataset\ravdess\Actor_04\03-01-04-01-01-02-04.wav,Sad
dataset\ravdess\Actor_04\03-01-04-01-02-01-04.wav,Sad
dataset\ravdess\Actor_04\03-01-04-01-02-02-04.wav,Sad
dataset\ravdess\Actor_04\03-01-04-02-01-01-04.wav,Sad
dataset\ravdess\Actor_04\03-01-04-02-01-02-04.wav,Sad
dataset\ravdess\Actor_04\03-01-04-02-02-01-04.wav,Sad
dataset\ravdess\Actor_04\03-01-04-02-02-02-04.wav,Sad
dataset\ravdess\Actor_04\03-01-05-01-01-01-04.wav,Angry
dataset\ravdess\Actor_04\03-01-05-01-01-02-04.wav,Angry
dataset\ravdess\Actor_04\03-01-05-01-02-01-04.wav,Angry
dataset\ravdess\Actor_04\03-01-05-01-02-02-04.wav,Angry
dataset\ravdess\Actor_04\03-01-05-02-01-01-04.wav,Angry
dataset\ravdess\Actor_04\03-01-05-02-01-02-04.wav,Angry
dataset\ravdess\Actor_04\03-01-05-02-02-01-04.wav,Angry
dataset\ravdess\Actor_04\03-01-05-02-02-02-04.wav,Angry
dataset\ravdess\Actor_04\03-01-06-01-01-01-04.wav,Fearful
dataset\ravdess\Actor_04\03-01-06-01-01-02-04.wav,Fearful
dataset\ravdess\Actor_04\03-01-06-01-02-01-04.wav,Fearful
dataset\ravdess\Actor_04\03-01-06-01-02-02-04.wav,Fearful
dataset\ravdess\Actor_04\03-01-06-02-01-01-04.wav,Fearful
dataset\ravdess\Actor_04\03-01-06-02-01-02-04.wav,Fearful
dataset\ravdess\Actor_04\03-01-06-02-02-01-04.wav,Fearful
dataset\ravdess\Actor_04\03-01-06-02-02-02-04.wav,Fearful
dataset\ravdess\Actor_04\03-01-07-01-01-01-04.wav,Disgust
dataset\ravdess\Actor_04\03-01-07-01-01-02-04.wav,Disgust
dataset\ravdess\Actor_04\03-01-07-01-02-01-04.wav,Disgust
dataset\ravdess\Actor_04\03-01-07-01-02-02-04.wav,Disgust
dataset\ravdess\Actor_04\03-01-07-02-01-01-04.wav,Disgust
dataset\ravdess\Actor_04\03-01-07-02-01-02-04.wav,Disgust
dataset\ravdess\Actor_04\03-01-07-02-02-01-04.wav,Disgust
dataset\ravdess\Actor_04\03-01-07-02-02-02-04.wav,Disgust
dataset\ravdess\Actor_04\03-01-08-01-01-01-04.wav,Surprised
dataset\ravdess\Actor_04\03-01-08-01-01-02-04.wav,Surprised
