path,emotion
Ravdess_Augmented\0.wav,Angry
Ravdess_Augmented\1.wav,Angry
Ravdess_Augmented\2.wav,Angry
Ravdess_Augmented\3.wav,Angry
Ravdess_Augmented\4.wav,Fearful
Ravdess_Augmented\5.wav,Fearful
Ravdess_Augmented\6.wav,Fearful
Ravdess_Augmented\7.wav,Fearful
Ravdess_Augmented\8.wav,Sad
Ravdess_Augmented\9.wav,Sad
Ravdess_Augmented\10.wav,Sad
Ravdess_Augmented\11.wav,Sad
Ravdess_Augmented\12.wav,Angry
Ravdess_Augmented\13.wav,Angry
Ravdess_Augmented\14.wav,Angry
Ravdess_Augmented\15.wav,Angry
Ravdess_Augmented\16.wav,Neutral
Ravdess_Augmented\17.wav,Neutral
Ravdess_Augmented\18.wav,Neutral
Ravdess_Augmented\19.wav,Neutral
Ravdess_Augmented\20.wav,Disgust
Ravdess_Augmented\21.wav,Disgust
Ravdess_Augmented\22.wav,Disgust
Ravdess_Augmented\23.wav,Disgust
Ravdess_Augmented\24.wav,Fearful
Ravdess_Augmented\25.wav,Fearful
Ravdess_Augmented\26.wav,Fearful
Ravdess_Augmented\27.wav,Fearful
Ravdess_Augmented\28.wav,Fearful
Ravdess_Augmented\29.wav,Fearful
Ravdess_Augmented\30.wav,Fearful
Ravdess_Augmented\31.wav,Fearful
Ravdess_Augmented\32.wav,Calm
Ravdess_Augmented\33.wav,Calm
Ravdess_Augmented\34.wav,Calm
Ravdess_Augmented\35.wav,Calm
Ravdess_Augmented\36.wav,Angry
Ravdess_Augmented\37.wav,Angry
Ravdess_Augmented\38.wav,Angry
Ravdess_Augmented\39.wav,Angry
Ravdess_Augmented\40.wav,Calm
Ravdess_Augmented\41.wav,Calm
Ravdess_Augmented\42.wav,Calm
Ravdess_Augmented\43.wav,Calm
Ravdess_Augmented\44.wav,Fearful
Ravdess_Augmented\45.wav,Fearful
Ravdess_Augmented\46.wav,Fearful
Ravdess_Augmented\47.wav,Fearful
Ravdess_Augmented\48.wav,Disgust
Ravdess_Augmented\49.wav,Disgust
Ravdess_Augmented\50.wav,Disgust
Ravdess_Augmented\51.wav,Disgust
Ravdess_Augmented\52.wav,Calm
Ravdess_Augmented\53.wav,Calm
Ravdess_Augmented\54.wav,Calm
Ravdess_Augmented\55.wav,Calm
Ravdess_Augmented\56.wav,Happy
Ravdess_Augmented\57.wav,Happy
Ravdess_Augmented\58.wav,Happy
Ravdess_Augmented\59.wav,Happy
Ravdess_Augmented\60.wav,Fearful
Ravdess_Augmented\61.wav,Fearful
Ravdess_Augmented\62.wav,Fearful
Ravdess_Augmented\63.wav,Fearful
Ravdess_Augmented\64.wav,Disgust
Ravdess_Augmented\65.wav,Disgust
Ravdess_Augmented\66.wav,Disgust
Ravdess_Augmented\67.wav,Disgust
Ravdess_Augmented\68.wav,Disgust
Ravdess_Augmented\69.wav,Disgust
Ravdess_Augmented\70.wav,Disgust
Ravdess_Augmented\71.wav,Disgust
Ravdess_Augmented\72.wav,Surprised
Ravdess_Augmented\73.wav,Surprised
Ravdess_Augmented\74.wav,Surprised
Ravdess_Augmented\75.wav,Surprised
Ravdess_Augmented\76.wav,Fearful
Ravdess_Augmented\77.wav,Fearful
Ravdess_Augmented\78.wav,Fearful
Ravdess_Augmented\79.wav,Fearful
Ravdess_Augmented\80.wav,Happy
