path,emotion
Ravdess_Silence\575.wav,Angry
Ravdess_Silence\101.wav,Fearful
Ravdess_Silence\1040.wav,Sad
Ravdess_Silence\690.wav,Angry
Ravdess_Silence\902.wav,Neutral
Ravdess_Silence\290.wav,Disgust
Ravdess_Silence\218.wav,Fearful
Ravdess_Silence\636.wav,Fearful
Ravdess_Silence\306.wav,Calm
Ravdess_Silence\631.wav,Angry
Ravdess_Silence\1090.wav,Calm
Ravdess_Silence\398.wav,Fearful
Ravdess_Silence\944.wav,Disgust
Ravdess_Silence\549.wav,Calm
Ravdess_Silence\1096.wav,Happy
Ravdess_Silence\523.wav,Fearful
Ravdess_Silence\170.wav,Disgust
Ravdess_Silence\111.wav,Disgust
Ravdess_Silence\1134.wav,Surprised
Ravdess_Silence\281.wav,Fearful
Ravdess_Silence\377.wav,Happy
Ravdess_Silence\358.wav,Surprised
Ravdess_Silence\819.wav,Fearful
Ravdess_Silence\372.wav,Happy
Ravdess_Silence\1315.wav,Surprised
Ravdess_Silence\1116.wav,Fearful
Ravdess_Silence\157.wav,Fearful
Ravdess_Silence\1344.wav,Sad
Ravdess_Silence\451.wav,Angry
Ravdess_Silence\1201.wav,Neutral
Ravdess_Silence\532.wav,Surprised
Ravdess_Silence\476.wav,Surprised
Ravdess_Silence\855.wav,Happy
Ravdess_Silence\179.wav,Surprised
Ravdess_Silence\800.wav,Sad
Ravdess_Silence\98.wav,Fearful
Ravdess_Silence\1155.wav,Happy
Ravdess_Silence\1232.wav,Angry
Ravdess_Silence\789.wav,Calm
Ravdess_Silence\981.wav,Sad
Ravdess_Silence\339.wav,Fearful
Ravdess_Silence\419.wav,Surprised
Ravdess_Silence\601.wav,Neutral
Ravdess_Silence\73.wav,Happy
Ravdess_Silence\1287.wav,Sad
Ravdess_Silence\1048.wav,Angry
Ravdess_Silence\675.wav,Happy
Ravdess_Silence\452.wav,Angry
Ravdess_Silence\697.wav,Fearful
Ravdess_Silence\477.wav,Surprised
Ravdess_Silence\1021.wav,Neutral
Ravdess_Silence\1080.wav,Neutral
Ravdess_Silence\939.wav,Fearful
Ravdess_Silence\867.wav,Sad
Ravdess_Silence\303.wav,Neutral
Ravdess_Silence\78.wav,Happy
Ravdess_Silence\354.wav,Surprised
Ravdess_Silence\677.wav,Happy
Ravdess_Silence\8.wav,Calm
Ravdess_Silence\174.wav,Surprised
Ravdess_Silence\1276.wav,Happy
