path,emotion
features\images\train\1.png,Sad
features\images\train\2.png,Sad
features\images\train\3.png,Happy
features\images\train\4.png,Disgust
features\images\train\5.png,Fearful
features\images\train\6.png,Disgust
features\images\train\7.png,Happy
features\images\train\8.png,Calm
features\images\train\9.png,Surprised
features\images\train\10.png,Angry
features\images\train\11.png,Happy
features\images\train\12.png,Angry
features\images\train\13.png,Happy
features\images\train\14.png,Surprised
features\images\train\15.png,Fearful
features\images\train\16.png,Fearful
features\images\train\17.png,Surprised
features\images\train\18.png,Disgust
features\images\train\19.png,Surprised
features\images\train\20.png,Fearful
features\images\train\21.png,Sad
features\images\train\22.png,Happy
features\images\train\23.png,Fearful
features\images\train\24.png,Angry
features\images\train\25.png,Happy
features\images\train\26.png,Disgust
features\images\train\27.png,Angry
features\images\train\28.png,Angry
features\images\train\29.png,Angry
features\images\train\30.png,Fearful
features\images\train\31.png,Fearful
features\images\train\32.png,Sad
features\images\train\33.png,Surprised
features\images\train\34.png,Disgust
features\images\train\35.png,Fearful
features\images\train\36.png,Happy
features\images\train\37.png,Sad
features\images\train\38.png,Disgust
features\images\train\39.png,Sad
features\images\train\40.png,Surprised
features\images\train\41.png,Happy
features\images\train\42.png,Happy
features\images\train\43.png,Happy
features\images\train\44.png,Calm
features\images\train\45.png,Fearful
features\images\train\46.png,Calm
features\images\train\47.png,Calm
features\images\train\48.png,Disgust
features\images\train\49.png,Disgust
features\images\train\50.png,Happy
features\images\train\51.png,Happy
features\images\train\52.png,Angry
features\images\train\53.png,Angry
features\images\train\54.png,Sad
features\images\train\55.png,Fearful
features\images\train\56.png,Neutral
features\images\train\57.png,Sad
features\images\train\58.png,Fearful
features\images\train\59.png,Angry
features\images\train\60.png,Disgust
features\images\train\61.png,Sad
features\images\train\62.png,Disgust
features\images\train\63.png,Fearful
features\images\train\64.png,Neutral
features\images\train\65.png,Disgust
features\images\train\66.png,Fearful
features\images\train\67.png,Disgust
features\images\train\68.png,Disgust
features\images\train\69.png,Sad
features\images\train\70.png,Sad
features\images\train\71.png,Angry
features\images\train\72.png,Sad
features\images\train\73.png,Surprised
features\images\train\74.png,Sad
features\images\train\75.png,Neutral
features\images\train\76.png,Sad
features\images\train\77.png,Calm
features\images\train\78.png,Surprised
features\images\train\79.png,Fearful
features\images\train\80.png,Disgust
features\images\train\81.png,Happy
features\images\train\82.png,Surprised
features\images\train\83.png,Sad
features\images\train\84.png,Disgust
features\images\train\85.png,Angry
features\images\train\86.png,Disgust
features\images\train\87.png,Calm
features\images\train\88.png,Angry
features\images\train\89.png,Happy
features\images\train\90.png,Calm
features\images\train\91.png,Fearful
features\images\train\92.png,Calm
features\images\train\93.png,Disgust
features\images\train\94.png,Calm
features\images\train\95.png,Angry
features\images\train\96.png,Surprised
features\images\train\97.png,Calm
features\images\train\98.png,Disgust
features\images\train\99.png,Sad
features\images\train\100.png,Calm
features\images\train\101.png,Angry
features\images\train\102.png,Surprised
features\images\train\103.png,Calm
features\images\train\104.png,Angry
features\images\train\105.png,Calm
features\images\train\106.png,Fearful
features\images\train\107.png,Fearful
features\images\train\108.png,Calm
features\images\train\109.png,Surprised
features\images\train\110.png,Fearful
features\images\train\111.png,Disgust
features\images\train\112.png,Happy
features\images\train\113.png,Neutral
features\images\train\114.png,Sad
features\images\train\115.png,Angry
features\images\train\116.png,Disgust
features\images\train\117.png,Surprised
features\images\train\118.png,Disgust
features\images\train\119.png,Disgust
features\images\train\120.png,Neutral
features\images\train\121.png,Fearful
features\images\train\122.png,Happy
features\images\train\123.png,Angry
features\images\train\124.png,Sad
features\images\train\125.png,Fearful
features\images\train\126.png,Disgust
features\images\train\127.png,Happy
features\images\train\128.png,Neutral
features\images\train\129.png,Neutral
features\images\train\130.png,Happy
features\images\train\131.png,Happy
features\images\train\132.png,Fearful
features\images\train\133.png,Calm
features\images\train\134.png,Sad
features\images\train\135.png,Calm
features\images\train\136.png,Disgust
features\images\train\137.png,Angry
features\images\train\138.png,Sad
features\images\train\139.png,Calm
features\images\train\140.png,Sad
features\images\train\141.png,Disgust
features\images\train\142.png,Calm
features\images\train\143.png,Sad
features\images\train\144.png,Angry
features\images\train\145.png,Surprised
features\images\train\146.png,Calm
features\images\train\147.png,Happy
features\images\train\148.png,Angry
features\images\train\149.png,Calm
features\images\train\150.png,Angry
features\images\train\151.png,Surprised
features\images\train\152.png,Surprised
features\images\train\153.png,Disgust
features\images\train\154.png,Angry
features\images\train\155.png,Disgust
features\images\train\156.png,Sad
features\images\train\157.png,Disgust
features\images\train\158.png,Calm
features\images\train\159.png,Sad
features\images\train\160.png,Fearful
features\images\train\161.png,Calm
features\images\train\162.png,Neutral
features\images\train\163.png,Fearful
features\images\train\164.png,Disgust
features\images\train\165.png,Happy
features\images\train\166.png,Disgust
features\images\train\167.png,Sad
features\images\train\168.png,Surprised
features\images\train\169.png,Angry
features\images\train\170.png,Fearful
features\images\train\171.png,Disgust
features\images\train\172.png,Surprised
features\images\train\173.png,Fearful
features\images\train\174.png,Disgust
features\images\train\175.png,Sad
features\images\train\176.png,Calm
features\images\train\177.png,Surprised
features\images\train\178.png,Sad
features\images\train\179.png,Surprised
features\images\train\180.png,Sad
features\images\train\181.png,Fearful
features\images\train\182.png,Happy
features\images\train\183.png,Happy
features\images\train\184.png,Angry
features\images\train\185.png,Sad
features\images\train\186.png,Disgust
features\images\train\187.png,Happy
features\images\train\188.png,Calm
features\images\train\189.png,Sad
features\images\train\190.png,Disgust
features\images\train\191.png,Calm
features\images\train\192.png,Calm
features\images\train\193.png,Neutral
features\images\train\194.png,Disgust
features\images\train\195.png,Angry
features\images\train\196.png,Surprised
features\images\train\197.png,Disgust
features\images\train\198.png,Neutral
features\images\train\199.png,Happy
features\images\train\200.png,Angry
features\images\train\201.png,Happy
features\images\train\202.png,Neutral
features\images\train\203.png,Happy
features\images\train\204.png,Disgust
features\images\train\205.png,Happy
features\images\train\206.png,Neutral
features\images\train\207.png,Disgust
features\images\train\208.png,Happy
features\images\train\209.png,Surprised
features\images\train\210.png,Angry
features\images\train\211.png,Happy
features\images\train\212.png,Surprised
features\images\train\213.png,Angry
features\images\train\214.png,Happy
features\images\train\215.png,Calm
features\images\train\216.png,Disgust
features\images\train\217.png,Happy
features\images\train\218.png,Disgust
features\images\train\219.png,Surprised
features\images\train\220.png,Surprised
features\images\train\221.png,Sad
features\images\train\222.png,Disgust
features\images\train\223.png,Angry
features\images\train\224.png,Fearful
features\images\train\225.png,Fearful
features\images\train\226.png,Sad
features\images\train\227.png,Sad
features\images\train\228.png,Fearful
features\images\train\229.png,Sad
features\images\train\230.png,Sad
features\images\train\231.png,Surprised
features\images\train\232.png,Sad
features\images\train\233.png,Fearful
features\images\train\234.png,Fearful
features\images\train\235.png,Happy
features\images\train\236.png,Happy
features\images\train\237.png,Surprised
features\images\train\238.png,Angry
features\images\train\239.png,Happy
features\images\train\240.png,Neutral
features\images\train\241.png,Happy
features\images\train\242.png,Fearful
features\images\train\243.png,Calm
features\images\train\244.png,Surprised
features\images\train\245.png,Calm
features\images\train\246.png,Angry
features\images\train\247.png,Surprised
features\images\train\248.png,Sad
features\images\train\249.png,Happy
features\images\train\250.png,Fearful
features\images\train\251.png,Surprised
features\images\train\252.png,Neutral
features\images\train\253.png,Disgust
features\images\train\254.png,Surprised
features\images\train\255.png,Sad
features\images\train\256.png,Neutral
features\images\train\257.png,Fearful
features\images\train\258.png,Angry
features\images\train\259.png,Fearful
features\images\train\260.png,Disgust
features\images\train\261.png,Sad
features\images\train\262.png,Angry
features\images\train\263.png,Surprised
features\images\train\264.png,Happy
features\images\train\265.png,Calm
features\images\train\266.png,Surprised
features\images\train\267.png,Calm
features\images\train\268.png,Fearful
features\images\train\269.png,Calm
features\images\train\270.png,Sad
features\images\train\271.png,Fearful
features\images\train\272.png,Happy
features\images\train\273.png,Neutral
features\images\train\274.png,Surprised
features\images\train\275.png,Neutral
features\images\train\276.png,Angry
features\images\train\277.png,Disgust
features\images\train\278.png,Neutral
features\images\train\279.png,Happy
features\images\train\280.png,Fearful
features\images\train\281.png,Calm
